Year,Month,Type,Temp
1998,4,MNTM,59.3
1998,5,MMNT,59.8
1998,5,MMXT,82.2
1998,5,MNTM,71.0
1998,6,MMNT,66.6
1998,6,MMXT,88.1
1998,6,MNTM,77.4
1998,7,MMNT,69.6
1998,7,MMXT,89.9
1998,7,MNTM,79.8
1998,8,MMNT,67.4
1998,8,MMXT,89.3
1998,8,MNTM,78.3
1998,9,MMNT,64.0
1998,9,MMXT,86.7
1998,9,MNTM,75.4
1998,10,MMNT,51.4
1998,10,MMXT,76.1
1998,10,MNTM,63.8
1998,11,MMNT,43.3
1998,11,MMXT,65.7
1998,11,MNTM,54.5
1998,12,MMNT,37.6
1998,12,MMXT,57.3
1998,12,MNTM,47.4
1999,1,MMNT,33.6
1999,1,MMXT,55.3
1999,1,MNTM,44.4
1999,2,MMNT,36.2
1999,2,MMXT,59.2
1999,2,MNTM,47.7
1999,3,MMNT,36.4
1999,3,MMXT,60.6
1999,3,MNTM,48.5
1999,4,MMNT,51.1
1999,4,MMXT,74.4
1999,4,MNTM,62.8
1999,5,MMNT,55.2
1999,5,MMXT,79.7
1999,5,MNTM,67.4
1999,6,MMNT,64.8
1999,6,MMXT,84.9
1999,6,MNTM,74.8
1999,7,MMNT,69.7
1999,7,MMXT,90.3
1999,7,MNTM,80.0
1999,8,MMNT,66.9
1999,8,MMXT,91.0
1999,8,MNTM,79.0
1999,9,MMNT,58.1
1999,9,MMXT,83.6
1999,9,MNTM,70.8
1999,10,MMNT,48.6
1999,10,MMXT,73.8
1999,10,MNTM,61.2
1999,11,MMNT,42.4
1999,11,MMXT,68.4
1999,11,MNTM,55.4
1999,12,MMNT,33.4
1999,12,MMXT,56.0
1999,12,MNTM,44.7
2000,1,MMNT,31.1
2000,1,MMXT,52.1
2000,1,MNTM,41.6
2000,2,MMNT,35.8
2000,2,MMXT,60.6
2000,2,MNTM,48.2
2000,3,MMNT,42.6
2000,3,MMXT,67.8
2000,3,MNTM,55.2
2000,4,MMNT,46.2
2000,4,MMXT,70.7
2000,4,MNTM,58.4
2000,5,MMNT,59.0
2000,5,MMXT,82.4
2000,5,MNTM,70.7
2000,6,MMNT,64.7
2000,6,MMXT,86.2
2000,6,MNTM,75.4
2000,7,MMNT,67.1
2000,7,MMXT,88.5
2000,7,MNTM,77.9
2000,8,MMNT,67.3
2000,8,MMXT,89.6
2000,8,MNTM,78.4
2000,9,MMNT,60.5
2000,9,MMXT,82.5
2000,9,MNTM,71.5
2000,10,MMNT,49.2
2000,10,MMXT,76.1
2000,10,MNTM,62.6
2000,11,MMNT,38.5
2000,11,MMXT,59.9
2000,11,MNTM,49.2
2000,12,MMNT,25.5
2000,12,MMXT,45.2
2000,12,MNTM,35.4
2001,1,MMNT,28.0
2001,1,MMXT,49.3
2001,1,MNTM,38.6
2001,2,MMNT,36.6
2001,2,MMXT,58.6
2001,2,MNTM,47.6
2001,3,MMNT,37.6
2001,3,MMXT,59.0
2001,3,MNTM,48.3
2001,4,MMNT,50.5
2001,4,MMXT,74.9
2001,4,MNTM,62.7
2001,5,MMNT,56.6
2001,5,MMXT,80.5
2001,5,MNTM,68.5
2001,6,MMNT,64.0
2001,6,MMXT,84.8
2001,6,MNTM,74.4
2001,7,MMNT,67.9
2001,7,MMXT,87.7
2001,7,MNTM,77.8
2001,8,MMNT,68.1
2001,8,MMXT,88.2
2001,8,MNTM,78.1
2001,9,MMNT,59.0
2001,9,MMXT,80.7
2001,9,MNTM,69.9
2001,10,MMNT,46.6
2001,10,MMXT,72.9
2001,10,MNTM,59.8
2001,11,MMNT,42.9
2001,11,MMXT,69.7
2001,11,MNTM,56.3
2001,12,MMNT,37.7
2001,12,MMXT,59.0
2001,12,MNTM,48.4
2002,1,MMNT,33.0
2002,1,MMXT,55.1
2002,1,MNTM,44.0
2002,2,MMNT,32.1
2002,2,MMXT,56.2
2002,2,MNTM,44.2
2002,3,MMNT,39.2
2002,3,MMXT,63.4
2002,3,MNTM,51.3
2002,4,MMNT,51.6
2002,4,MMXT,75.0
2002,4,MNTM,63.3
2002,5,MMNT,55.2
2002,5,MMXT,78.4
2002,5,MNTM,66.8
2002,6,MMNT,65.1
2002,6,MMXT,86.7
2002,6,MNTM,75.9
2002,7,MMNT,69.2
2002,7,MMXT,89.7
2002,7,MNTM,79.5
2002,8,MMNT,67.6
2002,8,MMXT,89.2
2002,8,MNTM,78.4
2002,9,MMNT,64.2
2002,9,MMXT,84.8
2002,9,MNTM,74.5
2002,10,MMNT,54.8
2002,10,MMXT,72.0
2002,10,MNTM,63.4
2002,11,MMNT,39.1
2002,11,MMXT,60.1
2002,11,MNTM,49.6
2002,12,MMNT,33.1
2002,12,MMXT,52.9
2002,12,MNTM,43.0
2003,1,MMNT,26.7
2003,1,MMXT,47.5
2003,1,MNTM,37.1
2003,2,MMNT,33.3
2003,2,MMXT,52.4
2003,2,MNTM,42.9
2003,3,MMNT,42.9
2003,3,MMXT,65.3
2003,3,MNTM,54.1
2003,4,MMNT,48.9
2003,4,MMXT,72.4
2003,4,MNTM,60.6
2003,5,MMNT,59.0
2003,5,MMXT,78.5
2003,5,MNTM,68.7
2003,6,MMNT,63.5
2003,6,MMXT,83.2
2003,6,MNTM,73.3
2003,7,MMNT,68.2
2003,7,MMXT,87.3
2003,7,MNTM,77.8
2003,8,MMNT,68.9
2003,8,MMXT,88.2
2003,8,MNTM,78.5
2003,9,MMNT,60.1
2003,9,MMXT,81.2
2003,9,MNTM,70.6
2003,10,MMNT,50.1
2003,10,MMXT,73.4
2003,10,MNTM,61.8
2003,11,MMNT,44.6
2003,11,MMXT,67.4
2003,11,MNTM,56.0
2003,12,MMNT,31.7
2003,12,MMXT,53.3
2003,12,MNTM,42.5
2004,1,MMNT,29.5
2004,1,MMXT,51.0
2004,1,MNTM,40.3
2004,2,MMNT,32.5
2004,2,MMXT,52.5
2004,2,MNTM,42.5
2004,3,MMNT,42.9
2004,3,MMXT,66.6
2004,3,MNTM,54.7
2004,4,MMNT,47.5
2004,4,MMXT,72.1
2004,4,MNTM,59.8
2004,5,MMNT,60.4
2004,5,MMXT,81.9
2004,5,MNTM,71.1
2004,6,MMNT,65.7
2004,6,MMXT,84.6
2004,6,MNTM,75.2
2004,7,MMNT,67.7
2004,7,MMXT,87.2
2004,7,MNTM,77.4
2004,8,MMNT,64.9
2004,8,MMXT,85.0
2004,8,MNTM,75.0
2004,9,MMNT,61.8
2004,9,MMXT,82.3
2004,9,MNTM,72.0
2004,10,MMNT,54.9
2004,10,MMXT,74.6
2004,10,MNTM,64.7
2004,11,MMNT,45.3
2004,11,MMXT,64.8
2004,11,MNTM,55.1
2004,12,MMNT,32.1
2004,12,MMXT,54.0
2004,12,MNTM,43.1
2005,1,MMNT,35.1
2005,1,MMXT,54.5
2005,1,MNTM,44.8
2005,2,MMNT,36.6
2005,2,MMXT,56.7
2005,2,MNTM,46.7
2005,3,MMNT,38.3
2005,3,MMXT,60.6
2005,3,MNTM,49.5
2005,4,MMNT,47.3
2005,4,MMXT,71.8
2005,4,MNTM,59.6
2005,5,MMNT,53.7
2005,5,MMXT,77.9
2005,5,MNTM,65.8
2005,6,MMNT,65.6
2005,6,MMXT,85.7
2005,6,MNTM,75.6
2005,7,MMNT,69.9
2005,7,MMXT,89.1
2005,7,MNTM,79.5
2005,8,MMNT,69.7
2005,8,MMXT,89.7
2005,8,MNTM,79.7
2005,9,MMNT,63.5
2005,9,MMXT,86.6
2005,9,MNTM,75.1
2005,10,MMNT,51.3
2005,10,MMXT,74.0
2005,10,MNTM,62.7
2005,11,MMNT,41.6
2005,11,MMXT,66.3
2005,11,MNTM,54.0
2005,12,MMNT,30.4
2005,12,MMXT,51.2
2005,12,MNTM,40.8
2006,1,MMNT,37.0
2006,1,MMXT,59.3
2006,1,MNTM,48.1
2006,2,MMNT,31.5
2006,2,MMXT,53.8
2006,2,MNTM,42.7
2006,3,MMNT,40.2
2006,3,MMXT,64.2
2006,3,MNTM,52.2
2006,4,MMNT,51.4
2006,4,MMXT,77.1
2006,4,MNTM,64.3
2006,5,MMNT,55.7
2006,5,MMXT,78.8
2006,5,MNTM,67.3
2006,6,MMNT,63.5
2006,6,MMXT,86.4
2006,6,MNTM,75.0
2006,7,MMNT,68.4
2006,7,MMXT,90.0
2006,7,MNTM,79.2
2006,8,MMNT,69.4
2006,8,MMXT,90.4
2006,8,MNTM,79.9
2006,9,MMNT,59.3
2006,9,MMXT,80.6
2006,9,MNTM,69.9
2006,10,MMNT,48.1
2006,10,MMXT,71.7
2006,10,MNTM,59.9
2006,11,MMNT,40.6
2006,11,MMXT,63.8
2006,11,MNTM,52.2
2006,12,MMNT,36.2
2006,12,MMXT,58.7
2006,12,MNTM,47.5
2007,1,MMNT,34.3
2007,1,MMXT,53.5
2007,1,MNTM,43.9
2007,2,MMNT,29.0
2007,2,MMXT,51.2
2007,2,MNTM,40.1
2007,3,MMNT,44.0
2007,3,MMXT,69.8
2007,3,MNTM,56.9
2007,4,MMNT,45.7
2007,4,MMXT,70.2
2007,4,MNTM,57.9
2007,5,MMNT,56.9
2007,5,MMXT,81.7
2007,5,MNTM,69.3
2007,6,MMNT,64.6
2007,6,MMXT,87.2
2007,6,MNTM,75.9
2007,7,MMNT,67.0
2007,7,MMXT,87.4
2007,7,MNTM,77.2
2007,8,MMNT,70.3
2007,8,MMXT,93.6
2007,8,MNTM,81.9
2007,9,MMNT,62.6
2007,9,MMXT,85.5
2007,9,MNTM,74.1
2007,10,MMNT,54.4
2007,10,MMXT,77.0
2007,10,MNTM,65.7
2007,11,MMNT,39.5
2007,11,MMXT,63.8
2007,11,MNTM,51.7
2007,12,MMNT,37.2
2007,12,MMXT,57.7
2007,12,MNTM,47.4
2008,1,MMNT,30.2
2008,1,MMXT,51.2
2008,1,MNTM,40.7
2008,2,MMNT,34.0
2008,2,MMXT,56.7
2008,2,MNTM,45.3
2008,3,MMNT,39.4
2008,3,MMXT,63.9
2008,3,MNTM,51.7
2008,4,MMNT,48.1
2008,4,MMXT,71.2
2008,4,MNTM,59.7
2008,5,MMNT,55.5
2008,5,MMXT,78.4
2008,5,MNTM,67.0
2008,6,MMNT,65.7
2008,6,MMXT,88.1
2008,6,MNTM,76.9
2008,7,MMNT,67.2
2008,7,MMXT,89.0
2008,7,MNTM,78.1
2008,8,MMNT,66.4
2008,8,MMXT,86.8
2008,8,MNTM,76.6
2008,9,MMNT,62.1
2008,9,MMXT,82.4
2008,9,MNTM,72.3
2008,10,MMNT,48.3
2008,10,MMXT,72.4
2008,10,MNTM,60.3
2008,11,MMNT,37.4
2008,11,MMXT,60.6
2008,11,MNTM,49.0
2008,12,MMNT,34.5
2008,12,MMXT,55.5
2008,12,MNTM,45.0
2009,1,MMNT,29.1
2009,1,MMXT,50.3
2009,1,MNTM,39.7
2009,2,MMNT,32.6
2009,2,MMXT,57.1
2009,2,MNTM,44.8
2009,3,MMNT,41.3
2009,3,MMXT,63.7
2009,3,MNTM,52.5
2009,4,MMNT,47.6
2009,4,MMXT,71.4
2009,4,MNTM,59.5
2009,5,MMNT,58.8
2009,5,MMXT,78.2
2009,5,MNTM,68.5
2009,6,MMNT,66.3
2009,6,MMXT,87.4
2009,6,MNTM,76.8
2009,7,MMNT,66.1
2009,7,MMXT,86.1
2009,7,MNTM,76.1
2009,8,MMNT,67.1
2009,8,MMXT,86.8
2009,8,MNTM,77.0
2009,9,MMNT,62.8
2009,9,MMXT,81.0
2009,9,MNTM,71.9
2009,10,MMNT,50.1
2009,10,MMXT,69.8
2009,10,MNTM,60.0
2009,11,MMNT,42.8
2009,11,MMXT,65.0
2009,11,MNTM,53.9
2009,12,MMNT,32.6
2009,12,MMXT,50.8
2009,12,MNTM,41.7
2010,1,MMNT,27.3
2010,1,MMXT,46.6
2010,1,MNTM,36.9
2010,2,MMNT,28.0
2010,2,MMXT,46.5
2010,2,MNTM,37.2
2010,3,MMNT,38.6
2010,3,MMXT,61.0
2010,3,MNTM,49.8
2010,4,MMNT,49.2
2010,4,MMXT,76.1
2010,4,MNTM,62.6
2010,5,MMNT,60.1
2010,5,MMXT,81.3
2010,5,MNTM,70.7
2010,6,MMNT,69.0
2010,6,MMXT,89.8
2010,6,MNTM,79.4
2010,7,MMNT,70.3
2010,7,MMXT,90.7
2010,7,MNTM,80.5
2010,8,MMNT,70.4
2010,8,MMXT,90.8
2010,8,MNTM,80.6
2010,9,MMNT,61.7
2010,9,MMXT,86.2
2010,9,MNTM,73.9
2010,10,MMNT,48.5
2010,10,MMXT,76.5
2010,10,MNTM,62.5
2010,11,MMNT,40.0
2010,11,MMXT,64.6
2010,11,MNTM,52.3
2010,12,MMNT,26.8
2010,12,MMXT,46.5
2010,12,MNTM,36.7
2011,1,MMNT,27.5
2011,1,MMXT,47.5
2011,1,MNTM,37.5
2011,2,MMNT,34.0
2011,2,MMXT,56.9
2011,2,MNTM,45.5
2011,3,MMNT,41.5
2011,3,MMXT,64.0
2011,3,MNTM,52.7
2011,4,MMNT,50.6
2011,4,MMXT,75.2
2011,4,MNTM,62.9
2011,5,MMNT,56.7
2011,5,MMXT,79.5
2011,5,MNTM,68.1
2011,6,MMNT,66.7
2011,6,MMXT,89.5
2011,6,MNTM,78.1
2011,7,MMNT,70.7
2011,7,MMXT,91.5
2011,7,MNTM,81.1
2011,8,MMNT,68.4
2011,8,MMXT,91.0
2011,8,MNTM,79.7
2011,9,MMNT,60.4
2011,9,MMXT,81.6
2011,9,MNTM,71.0
2011,10,MMNT,47.5
2011,10,MMXT,72.4
2011,10,MNTM,60.0
2011,11,MMNT,42.4
2011,11,MMXT,65.3
2011,11,MNTM,53.8
2011,12,MMNT,36.4
2011,12,MMXT,57.2
2011,12,MNTM,46.8
2012,1,MMNT,33.9
2012,1,MMXT,56.8
2012,1,MNTM,45.3
2012,2,MMNT,37.2
2012,2,MMXT,58.4
2012,2,MNTM,47.8
2012,3,MMNT,49.2
2012,3,MMXT,73.2
2012,3,MNTM,61.2
2012,4,MMNT,49.8
2012,4,MMXT,74.2
2012,4,MNTM,62.0
2012,5,MMNT,60.5
2012,5,MMXT,82.8
2012,5,MNTM,71.6
2012,6,MMNT,63.3
2012,6,MMXT,86.6
2012,6,MNTM,75.0
2012,7,MMNT,70.6
2012,7,MMXT,92.1
2012,7,MNTM,81.3
2012,8,MMNT,67.0
2012,8,MMXT,87.7
2012,8,MNTM,77.3
2012,9,MMNT,60.8
2012,9,MMXT,82.3
2012,9,MNTM,71.5
2012,10,MMNT,49.7
2012,10,MMXT,71.8
2012,10,MNTM,60.7
2012,11,MMNT,36.7
2012,11,MMXT,61.9
2012,11,MNTM,49.3
2012,12,MMNT,38.3
2012,12,MMXT,58.4
2012,12,MNTM,48.4
2013,1,MMNT,35.4
2013,1,MMXT,55.1
2013,1,MNTM,45.3
2013,2,MMNT,33.4
2013,2,MMXT,54.3
2013,2,MNTM,43.9
2013,3,MMNT,34.8
2013,3,MMXT,56.9
2013,3,MNTM,45.8
2013,4,MMNT,47.8
2013,4,MMXT,71.3
2013,4,MNTM,59.5
2013,5,MMNT,55.9
2013,5,MMXT,77.4
2013,5,MNTM,66.7
2013,6,MMNT,66.2
2013,6,MMXT,85.4
2013,6,MNTM,75.8
2013,7,MMNT,68.0
2013,7,MMXT,86.1
2013,7,MNTM,77.1
2013,8,MMNT,67.2
2013,8,MMXT,85.7
2013,8,MNTM,76.5
2013,9,MMNT,61.9
2013,9,MMXT,83.6
2013,9,MNTM,72.7
2013,10,MMNT,51.8
2013,10,MMXT,73.1
2013,10,MNTM,62.4
2013,11,MMNT,38.3
2013,11,MMXT,60.4
2013,11,MNTM,49.3
2013,12,MMNT,34.8
2013,12,MMXT,54.8
2013,12,MNTM,44.8
2014,1,MMNT,23.6
2014,1,MMXT,47.3
2014,1,MNTM,35.5
2014,2,MMNT,31.6
2014,2,MMXT,53.2
2014,2,MNTM,42.4
2014,3,MMNT,35.4
2014,3,MMXT,60.0
2014,3,MNTM,47.7
2014,4,MMNT,48.1
2014,4,MMXT,72.6
2014,4,MNTM,60.4
2014,5,MMNT,57.5
2014,5,MMXT,80.2
2014,5,MNTM,68.9
2014,6,MMNT,66.4
2014,6,MMXT,85.9
2014,6,MNTM,76.1
2014,7,MMNT,66.0
2014,7,MMXT,86.2
2014,7,MNTM,76.1
2014,8,MMNT,67.2
2014,8,MMXT,87.3
2014,8,MNTM,77.2
2014,9,MMNT,63.0
2014,9,MMXT,82.3
2014,9,MNTM,72.6
2014,10,MMNT,51.2
2014,10,MMXT,74.7
2014,10,MNTM,63.0
2014,11,MMNT,35.2
2014,11,MMXT,57.9
2014,11,MNTM,46.5
2014,12,MMNT,37.6
2014,12,MMXT,55.3
2014,12,MNTM,46.4
2015,1,MMNT,29.9
2015,1,MMXT,50.6
2015,1,MNTM,40.3
2015,2,MMNT,25.6
2015,2,MMXT,47.5
2015,2,MNTM,36.5
2015,3,MMNT,41.3
2015,3,MMXT,63.5
2015,3,MNTM,52.4
2015,4,MMNT,51.8
2015,4,MMXT,73.5
2015,4,MNTM,62.6
2015,5,MMNT,58.7
2015,5,MMXT,81.0
2015,5,MNTM,69.9
2015,6,MMNT,67.3
2015,6,MMXT,87.2
2015,6,MNTM,77.2
2015,7,MMNT,69.9
2015,7,MMXT,89.1
2015,7,MNTM,79.5
2015,8,MMNT,66.5
2015,8,MMXT,87.4
2015,8,MNTM,76.9
2015,9,MMNT,63.0
2015,9,MMXT,83.8
2015,9,MNTM,73.4
2015,10,MMNT,51.6
2015,10,MMXT,73.7
2015,10,MNTM,62.7
2015,11,MMNT,46.4
2015,11,MMXT,66.5
2015,11,MNTM,56.5
2015,12,MMNT,44.4
2015,12,MMXT,63.6
2015,12,MNTM,54.0
