YEAR,MONTH,MMNT,MMXT,MNTM
2003,4,39.7619,173.1685,106.4730
2003,5,92.0940,220.1876,156.1458
2003,6,130.1679,261.6116,195.8660
2003,7,166.0806,304.4512,235.2784
2003,8,166.0686,299.9601,233.0223
2003,9,110.8625,247.6291,179.2223
2003,10,59.0816,198.6137,128.9136
2003,11,2.5378,115.4305,58.9810
2003,12,-39.9224,67.2378,13.6636
2004,1,-73.1460,35.8376,-18.6383
2004,2,-54.1756,58.7569,2.3071
2004,3,12.2513,140.1889,76.2254
2004,4,42.7123,180.3132,111.4759
2004,5,99.3362,230.7812,165.0395
2004,6,137.4415,262.6621,200.0368
2004,7,163.4987,287.6907,225.6015
2004,8,147.8713,273.7005,210.7889
2004,9,118.1427,251.6855,184.8940
2004,10,68.0576,185.8558,126.9622
2004,11,13.2231,120.6331,66.8999
2004,12,-43.7333,67.8204,12.0707
2005,1,-50.3168,52.8041,1.2717
2005,2,-31.8399,82.0121,25.0903
2005,3,-14.5991,110.7406,48.0821
2005,4,41.0307,179.7533,110.3824
2005,5,81.4581,215.0782,148.2421
2005,6,142.4250,271.1544,206.7646
2005,7,168.4684,305.2920,236.8786
2005,8,161.6273,294.5997,228.1008
2005,9,128.1312,267.3903,197.7251
2005,10,68.4413,195.5108,131.9549
2005,11,5.6719,131.9183,68.7935
2005,12,-55.8823,49.2284,-3.3123
2006,1,-23.3248,89.3139,33.0119
2006,2,-56.9150,68.5605,5.8487
2006,3,-8.3594,114.1330,52.8739
2006,4,53.6497,196.9942,125.2939
2006,5,93.1578,231.1168,162.1360
2006,6,139.9660,279.2191,209.5862
2006,7,174.5255,310.6600,242.5657
2006,8,160.8378,293.6867,227.2684
2006,9,108.3279,235.9469,172.1103
2006,10,47.6772,173.7043,110.7117
2006,11,4.4986,124.9814,64.7514
2006,12,-31.2910,81.4563,25.0950
2007,1,-58.9151,48.9029,-5.0041
2007,2,-66.8375,46.4296,-10.1930
2007,3,11.2699,145.4994,78.3969
